venue_id,venue_name,location,starting_price
,Club House CitraLand,Kota Bandar Lampung,"Rp75,000"
,Tenis Indoor & Outdoor Sesko TNI,4.67·  Kota Bandung,"Rp75,000"
,Sunrise Tennis & Pickleball Court,4.87·  Kota Bogor,"Rp75,000"
,Lapangan Tennis Outdoor Unesa Ketintang,Kota Surabaya,"Rp75,000"
,Nordic Courts,4.87·  Kota Jakarta Barat,"Rp77,000"
,Padelnis Sports,4.93·  Kota Cirebon,"Rp77,000"
,Vlocity Arena,4.86·  Kota Jakarta Barat,"Rp78,000"
2,Galaxy Sports Center Pik 2,4.87·  Kabupaten Tangerang,"Rp80,000"
,Tennis Matic Kedoya,4.92·  Kota Jakarta Barat,"Rp80,000"
,Lapangan Tennis Pusdik Lantas,4.59·  Kota Tangerang Selatan,"Rp80,000"
,Tennis Taman Cipulir Estate,4.75·  Kota Tangerang,"Rp80,000"
,Tennis Padel Matic Suju,4.88·  Kota Bandung,"Rp80,000"
,"Budi Indah Tennis Court, Batu Ceper, Tangerang",5.00·  Kota Tangerang,"Rp80,000"
,Kenzo Sport Arena,4.53·  Kota Salatiga,"Rp80,000"
,YG Court,4.98·  Kota Bandar Lampung,"Rp80,000"
,Arcadia Tennis Club,Kota Depok,"Rp80,000"
,Aria Racquet Arena,4.96·  Kota Tangerang Selatan,"Rp85,000"
,Beyond The Court,4.93·  Kota Jakarta Timur,"Rp85,000"
,LAPANGAN TENNIS NEUSU KOTA BANDA ACEH,5.00·  Kota Banda Aceh,"Rp85,000"
,Tenis Outdoor Pusdikku,4.89·  Kota Bandung,"Rp85,000"
,Tennis Indoor & Outdoor Pussenkav,4.63·  Kota Bandung,"Rp85,000"
,TennisBay @ Wiladatika Cibubur,4.82·  Kota Depok,"Rp88,000"
,Forte Sport,4.47·  Kota Tangerang Selatan,"Rp88,000"
,Ayo Sports Club,4.91·  Kota Surabaya,"Rp88,000"
,Sriwedari Cibubur Tennis Court,4.75·  Kota Depok,"Rp90,000"
,Pakuwon Golf & Family Club,4.80·  Kota Surabaya,"Rp90,000"
,O2 Court,Kota Jakarta Pusat,"Rp90,000"
,The Exchange Court,4.80·  Kota Balikpapan,"Rp90,000"
,Hankam Cibubur Tennis Court,4.85·  Kota Jakarta Timur,"Rp90,000"
,Tenis Indoor Perhutani,4.67·  Kota Bandung,"Rp90,000"
,Clubhouse Depok,Kota Depok,"Rp90,000"
,Tennis Indoor Permata Hijau - Purwokerto,4.84·  Kabupaten Banyumas,"Rp95,000"
,Point Smash,5.00·  Kabupaten Sukoharjo,"Rp95,000"
,Tennis Matic PIK2,4.90·  Kabupaten Tangerang,"Rp99,000"
,Little Racquet Club,4.98·  Kabupaten Bogor,"Rp99,000"
,Comum Padel & Tennis Simulator,4.64·  Kota Tangerang,"Rp99,000"
,Pitcourt,4.73·  Kota Tangerang Selatan,"Rp99,000"
,Olympus Tennis - Ancol,4.84·  Kota Jakarta Utara,"Rp100,000"
,Orion Tennis Court,4.85·  Kota Jakarta Selatan,"Rp100,000"
,GOAT Tennis Arena,4.62·  Kota Tangerang Selatan,"Rp100,000"
,Lapangan Tenis Walang,4.89·  Kota Jakarta Utara,"Rp100,000"
,Buncit Indah Sports Club,4.89·  Kota Jakarta Selatan,"Rp100,000"
,Cross Court Tennis & Pickleball,4.91·  Kota Semarang,"Rp100,000"
,Bumi Pancasona Sports Club,4.92·  Kabupaten Bandung Barat,"Rp100,000"
,Daily Court,4.92·  Kota Jakarta Barat,"Rp100,000"
,Playpro Sports Arena,4.72·  Kota Bekasi,"Rp100,000"
,Solo Padel Club,4.85·  Kabupaten Karanganyar,"Rp100,000"
,ATB Tennis,4.90·  Kota Bogor,"Rp100,000"
,Wiyata Zeni Tennis Court,4.71·  Kota Bogor,"Rp100,000"
,Tennis Groove,4.98·  Kabupaten Bekasi,"Rp100,000"
,Puri Taman Sari Tennis Court,4.78·  Kota Cirebon,"Rp100,000"
,Pondok Cabe Tennis Court,4.94·  Kota Tangerang Selatan,"Rp100,000"
,RR Tennis Court,4.95·  Kota Tangerang Selatan,"Rp100,000"
,Hore Padel & Tenis,4.97·  Kota Surakarta,"Rp100,000"
